program,sub_program,district_name,campus_id,campus,year,demog,subject,proficiency,rate
ALP,C3,UPLIFT EDUCATION,57803003,UPLIFT EDUCATION - UPLIFT GRAND PR,2015,all,reading,meets,37
ALP,C3,UPLIFT EDUCATION,57803003,UPLIFT EDUCATION - UPLIFT GRAND PR,2015,all,reading,approaches,78
ALP,C3,UPLIFT EDUCATION,57803102,UPLIFT EDUCATION - INFINITY PREPAR,2015,all,reading,meets,45
ALP,C3,UPLIFT EDUCATION,57803102,UPLIFT EDUCATION - INFINITY PREPAR,2015,all,reading,approaches,68
Alumni Network,NULL,DALLAS ISD,57905001,BRYAN ADAMS H S,2015,all,math,meets,20
Alumni Network,NULL,DALLAS ISD,57905001,BRYAN ADAMS H S,2015,all,math,approaches,72
Alumni Network,NULL,DALLAS ISD,57905001,BRYAN ADAMS H S,2015,all,reading,meets,36
Alumni Network,NULL,DALLAS ISD,57905001,BRYAN ADAMS H S,2015,all,reading,approaches,63
Alumni Network,NULL,DALLAS ISD,57905013,FRANKLIN D ROOSEVELT H S,2015,all,math,meets,14
Alumni Network,NULL,DALLAS ISD,57905013,FRANKLIN D ROOSEVELT H S,2015,all,math,approaches,59
Alumni Network,NULL,DALLAS ISD,57905013,FRANKLIN D ROOSEVELT H S,2015,all,reading,meets,20
Alumni Network,NULL,DALLAS ISD,57905013,FRANKLIN D ROOSEVELT H S,2015,all,reading,approaches,48
Teams,Teams 1,DALLAS ISD,57905014,W W SAMUELL H S,2015,all,math,meets,32
Teams,Teams 1,DALLAS ISD,57905014,W W SAMUELL H S,2015,all,math,approaches,70
Teams,Teams 1,DALLAS ISD,57905014,W W SAMUELL H S,2015,all,reading,meets,26
Teams,Teams 1,DALLAS ISD,57905014,W W SAMUELL H S,2015,all,reading,approaches,56
Alumni Network,NULL,DALLAS ISD,57905017,H GRADY SPRUCE H S,2015,all,math,meets,18
Alumni Network,NULL,DALLAS ISD,57905017,H GRADY SPRUCE H S,2015,all,math,approaches,71
Alumni Network,NULL,DALLAS ISD,57905017,H GRADY SPRUCE H S,2015,all,reading,meets,19
Alumni Network,NULL,DALLAS ISD,57905017,H GRADY SPRUCE H S,2015,all,reading,approaches,53
Teams,Teams 1,DALLAS ISD,57905021,W T WHITE H S,2015,all,math,meets,22
Teams,Teams 1,DALLAS ISD,57905021,W T WHITE H S,2015,all,math,approaches,71
Teams,Teams 1,DALLAS ISD,57905021,W T WHITE H S,2015,all,reading,meets,38
Teams,Teams 1,DALLAS ISD,57905021,W T WHITE H S,2015,all,reading,approaches,61
Alumni Network,NULL,DALLAS ISD,57905028,EMMETT J CONRAD H S,2015,all,math,meets,17
Alumni Network,NULL,DALLAS ISD,57905028,EMMETT J CONRAD H S,2015,all,math,approaches,62
Alumni Network,NULL,DALLAS ISD,57905028,EMMETT J CONRAD H S,2015,all,reading,meets,22
Alumni Network,NULL,DALLAS ISD,57905028,EMMETT J CONRAD H S,2015,all,reading,approaches,50
Teams,Teams 2,DALLAS ISD,57905044,EDWARD H CARY MIDDLE,2015,all,math,meets,75
Teams,Teams 2,DALLAS ISD,57905044,EDWARD H CARY MIDDLE,2015,all,math,approaches,90
Teams,Teams 2,DALLAS ISD,57905044,EDWARD H CARY MIDDLE,2015,all,reading,meets,19
Teams,Teams 2,DALLAS ISD,57905044,EDWARD H CARY MIDDLE,2015,all,reading,approaches,56
Alumni Network,NULL,DALLAS ISD,57905050,ROBERT T HILL MIDDLE,2015,all,math,meets,56
Alumni Network,NULL,DALLAS ISD,57905050,ROBERT T HILL MIDDLE,2015,all,math,approaches,92
Alumni Network,NULL,DALLAS ISD,57905050,ROBERT T HILL MIDDLE,2015,all,reading,meets,23
Alumni Network,NULL,DALLAS ISD,57905050,ROBERT T HILL MIDDLE,2015,all,reading,approaches,66
Teams,Teams 2,DALLAS ISD,57905054,THOMAS C MARSH MIDDLE,2015,all,math,meets,55
Teams,Teams 2,DALLAS ISD,57905054,THOMAS C MARSH MIDDLE,2015,all,math,approaches,99
Teams,Teams 2,DALLAS ISD,57905054,THOMAS C MARSH MIDDLE,2015,all,reading,meets,21
Teams,Teams 2,DALLAS ISD,57905054,THOMAS C MARSH MIDDLE,2015,all,reading,approaches,64
Teams,Teams 2,DALLAS ISD,57905055,THOMAS J RUSK MIDDLE,2015,all,math,meets,23
Teams,Teams 2,DALLAS ISD,57905055,THOMAS J RUSK MIDDLE,2015,all,math,approaches,91
Teams,Teams 2,DALLAS ISD,57905055,THOMAS J RUSK MIDDLE,2015,all,reading,meets,21
Teams,Teams 2,DALLAS ISD,57905055,THOMAS J RUSK MIDDLE,2015,all,reading,approaches,62
Teams,Teams 2,DALLAS ISD,57905059,L V STOCKARD MIDDLE,2015,all,math,meets,86
Teams,Teams 2,DALLAS ISD,57905059,L V STOCKARD MIDDLE,2015,all,math,approaches,100
Teams,Teams 2,DALLAS ISD,57905059,L V STOCKARD MIDDLE,2015,all,reading,meets,21
Teams,Teams 2,DALLAS ISD,57905059,L V STOCKARD MIDDLE,2015,all,reading,approaches,65
Teams,Teams 1,DALLAS ISD,57905062,BILLY EARL DADE MIDDLE,2015,all,math,meets,33
Teams,Teams 1,DALLAS ISD,57905062,BILLY EARL DADE MIDDLE,2015,all,math,approaches,89
Teams,Teams 1,DALLAS ISD,57905062,BILLY EARL DADE MIDDLE,2015,all,reading,meets,13
Teams,Teams 1,DALLAS ISD,57905062,BILLY EARL DADE MIDDLE,2015,all,reading,approaches,50
Teams,Teams 1,DALLAS ISD,57905074,THOMAS A EDISON MIDDLE LEARNING CE,2015,all,math,approaches,80
Teams,Teams 1,DALLAS ISD,57905074,THOMAS A EDISON MIDDLE LEARNING CE,2015,all,reading,meets,12
Teams,Teams 1,DALLAS ISD,57905074,THOMAS A EDISON MIDDLE LEARNING CE,2015,all,reading,approaches,46
Teams,Teams 2,DALLAS ISD,57905101,JOHN Q ADAMS EL,2015,all,reading,meets,43
Teams,Teams 2,DALLAS ISD,57905101,JOHN Q ADAMS EL,2015,all,reading,approaches,74
Alumni Network,NULL,DALLAS ISD,57905108,BAYLES EL,2015,all,reading,meets,23
Alumni Network,NULL,DALLAS ISD,57905108,BAYLES EL,2015,all,reading,approaches,61
Alumni Network,NULL,DALLAS ISD,57905110,ANNIE WEBB BLANTON EL,2015,all,reading,meets,22
Alumni Network,NULL,DALLAS ISD,57905110,ANNIE WEBB BLANTON EL,2015,all,reading,approaches,49
Alumni Network,NULL,DALLAS ISD,57905116,DAVID G BURNET EL,2015,all,reading,meets,33
Alumni Network,NULL,DALLAS ISD,57905116,DAVID G BURNET EL,2015,all,reading,approaches,74
Teams,Teams 1,DALLAS ISD,57905119,WILLIAM L CABELL EL,2015,all,reading,meets,25
Teams,Teams 1,DALLAS ISD,57905119,WILLIAM L CABELL EL,2015,all,reading,approaches,60
ALP,C4,DALLAS ISD,57905125,CASA VIEW EL,2015,all,reading,meets,39
ALP,C4,DALLAS ISD,57905125,CASA VIEW EL,2015,all,reading,approaches,73
Alumni Network,NULL,DALLAS ISD,57905129,S S CONNER EL,2015,all,reading,meets,31
Alumni Network,NULL,DALLAS ISD,57905129,S S CONNER EL,2015,all,reading,approaches,59
Alumni Network,NULL,DALLAS ISD,57905135,EVERETTE LEE DEGOLYER EL,2015,all,reading,meets,52
Alumni Network,NULL,DALLAS ISD,57905135,EVERETTE LEE DEGOLYER EL,2015,all,reading,approaches,81
ALP,C4,DALLAS ISD,57905145,STEPHEN C FOSTER EL,2015,all,reading,meets,34
